source,target,value
Michael,dwight,353
Michael,pam,327
Michael,jim,227
Michael,michael,171
Michael,jan,154
Michael,ryan,143
Michael,stanley,133
Michael,phyllis,127
Michael,toby,101
Michael,oscar,100
Dwight,jim,294
Dwight,michael,282
Dwight,pam,104
Dwight,angela,59
Dwight,ryan,50
Dwight,phyllis,46
Dwight,kevin,41
Dwight,stanley,41
Dwight,oscar,29
Dwight,david,28
Jim,dwight,258
Jim,pam,189
Jim,michael,181
Jim,andy,53
Jim,kevin,39
Jim,phyllis,36
Jim,stanley,23
Jim,ryan,22
Jim,kelly,21
Jim,karen,19
Pam,michael,262
Pam,jim,182
Pam,dwight,126
Pam,angela,44
Pam,andy,35
Pam,kevin,34
Pam,phyllis,30
Pam,ryan,30
Pam,oscar,26
Pam,jan,25
Andy,dwight,80
Andy,erin,78
Andy,jim,48
Andy,darryl,41
Andy,michael,40
Andy,angela,33
Andy,phyllis,21
Andy,kevin,20
Andy,oscar,19
Andy,stanley,19
Creed,michael,23
Creed,pam,10
Creed,jim,7
Creed,andy,3
Creed,meredith,3
Creed,phyllis,3
Creed,angela,2
