source,target,value
0,1,353
0,3,327
0,2,227
0,0,171
0,10,154
0,17,143
0,18,133
0,16,127
0,19,101
0,15,100
1,2,294
1,0,282
1,3,104
1,6,59
1,17,50
1,16,46
1,13,41
1,18,41
1,15,29
1,8,28
2,1,258
2,3,189
2,0,181
2,4,53
2,13,39
2,16,36
2,18,23
2,17,22
2,12,21
2,11,19
3,0,262
3,2,182
3,1,126
3,6,44
3,4,35
3,13,34
3,16,30
3,17,30
3,15,26
3,10,25
4,1,80
4,9,78
4,2,48
4,7,41
4,0,40
4,6,33
4,16,21
4,13,20
4,15,19
4,18,19
5,0,23
5,3,10
5,2,7
5,4,3
5,14,3
5,16,3
5,6,2
