Season,Episode,Title,AirDate,Rating,Num_Votes,Description,DirectedBy,WrittenBy
1,1,Pilot,3/24/2005,7.5,4349,"The premiere episode introduces the boss and staff of the Dunder-Mifflin Paper Company in Scranton, Pennsylvania in a documentary about the workplace.",Ken Kwapis,Ricky Gervais |Stephen Merchant and Greg Daniels
1,2,Diversity Day,3/29/2005,8.3,4213,"Michael's off color remark puts a sensitivity trainer in the office for a presentation, which prompts Michael to create his own.",Ken Kwapis,B. J. Novak
1,3,Health Care,4/5/2005,7.8,3536,"Michael leaves Dwight in charge of picking the new healthcare plan for the staff, with disastrous results ahead.",Ken Whittingham,Paul Lieberstein
1,4,The Alliance,4/12/2005,8.1,3428,"Just for a laugh, Jim agrees to an alliance with Dwight regarding the downsizing rumors.",Bryan Gordon,Michael Schur
1,5,Basketball,4/19/2005,8.4,3745,Michael and his staff challenge the warehouse workers to a basketball game with a bet looming over both parties.,Greg Daniels,Greg Daniels
1,6,Hot Girl,4/26/2005,7.8,3372,Michael is just one of the many male staff who start vying for the attention of an attractive saleswoman in the office.,Amy Heckerling,Mindy Kaling
1,7,,,,,,,
1,8,,,,,,,
1,9,,,,,,,
1,10,,,,,,,
1,11,,,,,,,
1,12,,,,,,,
1,13,,,,,,,
1,14,,,,,,,
1,15,,,,,,,
1,16,,,,,,,
1,17,,,,,,,
1,18,,,,,,,
1,19,,,,,,,
1,20,,,,,,,
1,21,,,,,,,
1,22,,,,,,,
1,23,,,,,,,
1,24,,,,,,,
1,25,,,,,,,
1,26,,,,,,,
2,1,The Dundies,9/20/2005,8.7,3780,"Very much unlike his staff, an overeager Michael can't wait for this year's annual Dundies awards.",Greg Daniels,Mindy Kaling
2,2,Sexual Harassment,9/27/2005,8.2,3218,The office reviews its sexual harassment policy in light of explicit e-mails.,Ken Kwapis,B. J. Novak
2,3,Office Olympics,10/4/2005,8.4,3218,"Ready to finalize his deal for a new condo, Michael is away with Dwight while Jim rallies the staff together for office games.",Paul Feig,Michael Schur
2,4,The Fire,10/11/2005,8.4,3183,A fire in the kitchen relegates the staff to the parking lot as help is on its way.,Ken Kwapis,B. J. Novak
2,5,Halloween,10/18/2005,8.1,2992,"Michael is pressured by corporate to fire someone, which puts a damper on the office Halloween party.",Paul Feig,Greg Daniels
2,6,The Fight,11/1/2005,8.2,2981,Jim rallies the staff together to witness a showdown between Michael and Dwight at Dwight's martial arts school.,Ken Kwapis,Gene Stupnitsky | Lee Eisenberg
2,7,The Client,11/8/2005,8.6,3087,"With Michael and Jan Levinson-Gould away from the office to land a new client, the staff discovers an unproduced screenplay in Michael's office.",Greg Daniels,Paul Lieberstein
2,8,Performance Review,11/15/2005,8.2,2828,"Instead of talking to his employees about their work, Michael uses their annual review time to gather feedback on his ""relationship"" with Jan.",Paul Feig,Larry Wilmore
2,9,E-Mail Surveillance,11/22/2005,8.4,2940,"Michael decides to set up e-mail surveillance for all company e-mail, and discovers that Jim has invited everyone over for a barbeque except him.",Paul Feig,Jennifer Celotta
2,10,Christmas Party,12/6/2005,8.9,3204,"Seeing the party is headed for disastrous boredom, Michael breaks corporate policy to buy alcohol for the staff.",Charles McDougall,Michael Schur
2,11,Booze Cruise,1/5/2006,8.6,3115,"The Dunder Mifflin staff go on a mandatory ""booze cruise"" to hear Michael give a motivational talk.",Ken Kwapis,Greg Daniels
2,12,The Injury,1/12/2006,9.1,3783,"Michael's ""injury"" from a George Foreman Grill distracts the staff from Dwight, the one with the real injury.",Bryan Gordon,Mindy Kaling
2,13,The Secret,1/19/2006,8.3,2762,"Jim fears the secret he told to Michael, in confidence, will be revealed to the staff.",Dennie Gordon,Lee Eisenberg | Gene Stupnitsky
2,14,The Carpet,1/26/2006,7.9,2745,Michael's office becomes the victim of an odorous prank which subjects the office to his punishment.,"Victor Nelli, Jr.",Paul Lieberstein
2,15,Boys and Girls,2/2/2006,8.2,2723,"Jan comes into the Scranton Branch to give all the female employees a group seminar on women in the workplace. Upset that he is not allowed in on the proceedings, Michael takes all the men of Dunder Mifflin down into the warehouse for some ""guy time"" with the warehouse workers. Pam is offered a chance to pursue her dreams of drawing and Roy confronts Jim about his feelings for Pam.",Dennie Gordon,B. J. Novak
2,16,Valentine's Day,2/9/2006,8.3,2731,"When Michael visits Dunder Mifflin corporate headquarters in New York on Valentine's Day, he and Jan are both in for a surprise. Meanwhile, back in Scranton, the office staff celebrates Valentine's Day grade school style.",Greg Daniels,Michael Schur
2,17,Dwight's Speech,3/2/2006,8.5,2875,Michael coaches pompous Dwight on the finer art of public speaking after being named as Salesman of the Year.,Charles McDougall,Paul Lieberstein
2,18,Take Your Daughter to Work Day,3/16/2006,8.3,2819,"A routine office day is changed when children come to Dunder Mifflin for ""Take Your Daughter to Work Day."" Michael is surprised when he strikes up a friendship with the five-year old daughter of his sworn enemy, Toby. Pam is desperate to befriend her colleagues' offspring and a misunderstanding puts Ryan under Stanley's thumb.","Victor Nelli, Jr.",Mindy Kaling
2,19,Michael's Birthday,3/30/2006,8.1,2719,"In celebration of his birthday, Michael makes a mandatory invite of the staff during the workday to go ice skating.",Ken Whittingham,Gene Stupnitsky | Lee Eisenberg
2,20,Drug Testing,4/27/2006,8.4,2783,Dwight plays the role of Volunteer Sheriff after finding half a joint in the Dunder Mifflin parking lot leading to an investigation. Pam gives Jim a play challenge which he tries to complete.,Greg Daniels,Jennifer Celotta
2,21,Conflict Resolution,5/4/2006,8.7,2838,"When Michael takes over conflict resolution duties from HR, chaos ensues at Dunder Mifflin.",Charles McDougall,Greg Daniels
2,22,Casino Night,5/11/2006,9.4,4195,The Dunder Mifflin crew holds a casino party at the warehouse and Michael has two dates.,Ken Kwapis,Steve Carell
2,23,,,,,,,
2,24,,,,,,,
2,25,,,,,,,
2,26,,,,,,,
3,1,Gay Witch Hunt,9/21/2006,9,3608,"Michael apologizes to Oscar, after he finds out he's gay, for calling him a homosexual slur--but his apology outs Oscar to the entire office. And Jim decides to take a promotion at the Stamford office.",Ken Kwapis,Greg Daniels
3,2,The Convention,9/28/2006,8.2,2663,"Michael and Dwight go to a convention in Philadelphia and run into Jim, and Michael becomes jealous of Jim's relationship with his new boss. Meanwhile, Pam gets ready for her first date since her engagement.",Ken Whittingham,Gene Stupnitsky | Lee Eisenberg
3,3,The Coup,10/5/2006,8.6,2787,"Michael is in trouble once again as Jan busts him for declaring it's ""Movie Monday"" where everyone watches a movie and neglects work. Angela pushes Dwight to make a move on Michael's job while Pam and Jim find creative ways to waste time.",Greg Daniels,Paul Lieberstein
3,4,Grief Counseling,10/12/2006,8,2686,Michael takes on the role of office grief counselor when he learns that his old boss has died.,Roger Nygard,Jennifer Celotta
3,5,Initiation,10/19/2006,8.2,2622,Dwight takes former temp Ryan to his beet farm to initiate Ryan to his new job at Dunder Mifflin.,Randall Einhorn,B. J. Novak
3,6,Diwali,11/2/2006,8,2697,"Michael encourages the entire Scranton branch to support Kelly and attend a local celebration of Diwali, the Hindu Festival of Lights. Meanwhile, Andy convinces Jim to turn a late night of work into a drinking game.",Miguel Arteta,Mindy Kaling
3,7,Branch Closing,11/9/2006,8.6,2642,"When Jan tells Michael that the Scranton Branch will be shutting down, Michael strives to keep his staff's spirits up. Meanwhile, everyone privately begins to envision how their lives will change in the aftermath.",Tucker Gates,Michael Schur
3,8,The Merger,11/16/2006,8.7,2768,Jan informs Michael that the Scanton branch of Dunder Mifflin will be merging with the Stamford Branch. Jim and Pam are reunited while the other employees of both branches must adjust to their new co-workers.,Ken Whittingham,Brent Forrester
3,9,The Convict,11/30/2006,8.3,2772,"Michael learns that one of the new employees at Dunder Mifflin Scranton has a criminal record. Meanwhile, Jim helps Andy make a move on Pam.",Jeffrey Blitz,Ricky Gervais | Stephen Merchant
3,10,A Benihana Christmas,12/14/2006,8.8,2935,"Trouble among the members of the party planning committee results with Pam and Karen hosting a rival Christmas party, but Michael isn't interested in celebrating after being dumped by Carol.",Harold Ramis,Jennifer Celotta
3,11,Back from Vacation,1/4/2007,8.5,2623,"Michael isn't supposed to let anyone know that he and Jan went on vacation together in Jamaica, but he accidentally circulates a compromising photo of them to the office via e-mail.",Julian Farino,Justin Spitzer
3,12,Traveling Salesmen,1/11/2007,8.6,2688,"Dwight does a favor for Angela to keep her from getting in trouble. Andy finds out and uses it against him to get in tighter with Michael. Now Dwight must fess up, which will reveal his relationship with Angela, or risk getting fired.",Greg Daniels,Michael Schur | Lee Eisenberg | Gene Stupnitsky
3,13,The Return,1/18/2007,8.8,2822,"Andy does the impossible--he makes everyone in the office miss Dwight, who is forced to take a job at Staples. Meanwhile, Oscar comes back to the office and Michael predictably throws a stereotypical Mexican party to celebrate.",Greg Daniels,Lee Eisenberg | Gene Stupnitsky | Michael Schur
3,14,Ben Franklin,2/1/2007,8.1,2618,"Michael asks Jim to get a male stripper for Phyllis's office bachelorette party, but he gets a Ben Franklin impersonator instead. Meanwhile, the men's bachelor party goes as planned until Michael becomes uncomfortable with the stripper.",Randall Einhorn,Mindy Kaling
3,15,Phyllis' Wedding,2/8/2007,8.2,2641,"Michael exaggerates the importance of his small role in Phyllis's wedding and makes an ass out of himself, and Pam notices that Phyllis stole all of her wedding ideas from her original wedding plans.",Ken Whittingham,Caroline Williams
3,16,Business School,2/15/2007,8.9,3028,"Michael is a guest speaker for Ryan's business class, but they have a falling-out after Michael finds out that Ryan spoke negatively about Dunder-Mifflin. And back at the office, Dwight tries to kill a bat that he found in the ceiling.",Joss Whedon,Brent Forrester
3,17,Cocktails,2/22/2007,8.5,2622,"While Michael and Jan go to their first Dunder Mifflin outing as an official couple, the office workers left behind go out for happy hour. During happy hour, Roy finds out that Jim and Pam kissed at Casino Night.",J. J. Abrams,Paul Lieberstein
3,18,The Negotiation,4/5/2007,9,2968,"Dwight saves Jim from an attack by Roy, but Dwight won't allow Jim to thank him for it. Meanwhile, Darryl asks Michael for a pay raise, and Michael discovers that he is woefully underpaid--so Michael goes to headquarters to ask for one himself.",Jeffrey Blitz,Michael Schur
3,19,Safety Training,4/12/2007,8.8,2798,"Andy returns to the office after weeks of anger management training, determined to make a fresh start with all the Dunder-Mifflin employees. Meanwhile, it's safety training day in the office, and Michael and Dwight are on a mission to illuminate the dangers of the workplace.",Harold Ramis,B. J. Novak
3,20,Product Recall,4/26/2007,8.8,2790,"Michael tries to be proactive during a watermark crisis, but only makes the situation worse. Meanwhile, Angela has trouble being apologetic with customers, and Andy discovers a secret about his new girlfriend.",Randall Einhorn,Justin Spitzer | Brent Forrester
3,21,Women's Appreciation,5/3/2007,8.8,2785,"Phyllis gets flashed in the parking lot, and Dwight goes all out to secure the premises. Michael ostensibly takes the women in the office to the mall to comfort them, but he's really doing it to get advice about breaking up with Jan.",Tucker Gates,Gene Stupnitsky | Lee Eisenberg
3,22,Beach Games,5/10/2007,9.1,3200,"Michael uses ""beach day"" at Dunder-Mifflin to find out which employee would be his most capable replacement, just in case he receives the promotion to the New York office that he's applied for.",Harold Ramis,Jennifer Celotta | Greg Daniels
3,23,The Job,5/17/2007,9.3,3461,"Michael appoints Dwight as regional manager, anticipating that he will receive the job at corporate. Jim and Karen also interview for the same position. And Michael gets back together with Jan after she gets a boob job.",Ken Kwapis,Paul Lieberstein | Michael Schur
3,24,,,,,,,
3,25,,,,,,,
3,26,,,,,,,
4,1,Fun Run,9/27/2007,8.8,3262,"Michael accidentally runs over Meridith in the parking lot, and his guilt causes him to organize a 5-K run for her. Dwight and Angela have a falling-out after he kills her cat, and Jim and Pam's relationship is discovered.",Greg Daniels,Greg Daniels
4,2,Dunder Mifflin Infinity,10/4/2007,8.3,2605,"Michael feels threatened when Ryan returns to the Scranton office to share his ideas about the future of Dunder Mifflin. Jim and Pam's relationship is shared with the entire office, while Angela and Dwight's relationship is on the rocks.",Craig Zisk,Michael Schur
4,3,Launch Party,10/11/2007,8.4,2517,"The Dunder Mifflin Infinity website is launching and Michael is excited about going to the big launch party in New York while Angela plans a satellite party for the Scranton branch. Meanwhile, Dwight competes against the website to see who can sell the most paper in one day.",Ken Whittingham,Jennifer Celotta
4,4,Money,10/18/2007,8.7,2707,"As Jan renovates the condo, Michael confronts his growing debt every way he can, which includes pressuring his employees for a loan. Pam and Jim spend a night out on Dwight's family beet farm, now a bed and breakfast.",Paul Lieberstein,Paul Lieberstein
4,5,Local Ad,10/25/2007,8.8,2767,"Michael tries to make a local Dunder Mifflin commercial that is better than the one the professional ad agency made for them. Meanwhile, Andy tries to confide in Dwight about his new relationship with Angela.",Jason Reitman,B. J. Novak
4,6,Branch Wars,11/1/2007,8.5,2545,"Michael and Dwight try to play a prank on Karen, who is now manager of the Utica branch, after she tries to steal Stanley from the Scranton office. Meanwhile, Pam, Toby, and Oscar start their own exclusive office book club.",Joss Whedon,Mindy Kaling
4,7,Survivor Man,11/8/2007,8.2,2459,"After Michael isn't invited to a camping trip with Ryan, he sets out to prove that he can brave it out in the wilderness by himself. Jim, who is in charge of the office while Michael is gone, tries to change the birthday party policy.",Paul Feig,Steve Carell
4,8,The Deposition,11/15/2007,8.7,2574,"Michael is put in an awkward position when Jan sues Dunder Mifflin for wrongful termination and he is deposed as a witness. Meanwhile, Kelly begins smack-talking Pam after Darryl beats Jim at Ping-Pong.",Julian Farino,Lester Lewis
4,9,Dinner Party,4/10/2008,9.4,4824,"Michael invites Jim and Pam and Andy and Angela to a couples-only dinner party, which makes Dwight very jealous. However, the only thing he's missing is a ringside seat to witness Michael and Jan's extremely dysfunctional home life.",Paul Feig,Gene Stupnitsky | Lee Eisenberg
4,10,Chair Model,4/17/2008,8.1,2439,"Kevin and Andy team up to reclaim the stolen Dunder Mifflin parking spaces, which forces them into a showdown with the other four bosses of the office park. Meanwhile, Michael becomes fascinated by a woman modeling chairs in a catalog.",Jeffrey Blitz,B. J. Novak
4,11,Night Out,4/24/2008,8.6,2536,"Michael and Dwight go to New York to party with Ryan, who is having lots of personal and professional problems. The rest of the office employees work late, and wind up getting locked in the business park.",Ken Whittingham,Mindy Kaling
4,12,Did I Stutter?,5/1/2008,8.3,2434,"Michael tries to figure out how to respond to Stanley's insubordination during a meeting, and Dwight buys Andy's vehicle and immediately flips it for more money.",Randall Einhorn,Brent Forrester | Justin Spitzer
4,13,Job Fair,5/8/2008,7.8,2305,"Dunder-Mifflin participates in a high school job fair, but few students are interested. Jim, Andy, and Kevin play a round of golf with a prospective client. Back at the office, everyone but Dwight and Angela leave for the day.",Tucker Gates,Lee Eisenberg | Gene Stupnitsky
4,14,"Goodbye, Toby",5/15/2008,9.3,3453,"Michael throws an extravagant going-away party for Toby, and falls in love with the woman who is replacing him. Jim plans to propose to Pam at the party, but gets out-staged. Back at corporate, Ryan is arrested for fraud.",Paul Feig,Jennifer Celotta | Paul Lieberstein
4,15,,,,,,,
4,16,,,,,,,
4,17,,,,,,,
4,18,,,,,,,
4,19,,,,,,,
4,20,,,,,,,
4,21,,,,,,,
4,22,,,,,,,
4,23,,,,,,,
4,24,,,,,,,
4,25,,,,,,,
4,26,,,,,,,
5,1,Weight Loss,9/25/2008,8.8,2880,"Michael tries to motivate the Scranton branch to lose weight as part of an interoffice competition. Jim is lost after Pam leaves for art school in New York, and Angela continues to see Dwight even though she is now engaged to Andy.",Paul Feig,Lee Eisenberg | Gene Stupnitsky
5,2,Business Ethics,10/9/2008,8.3,2327,A confession at an H.R. business ethics seminar leads to a dispute between Michael and Holly over whether Meredith should be fired. Dwight tries to prove to Jim how long he can go without taking a personal break,Jeffrey Blitz,Ryan Koh
5,3,Baby Shower,10/16/2008,8,2292,"After planning an office baby shower for Jan, Michael is upset when he finds out that she had the baby without him--even though he's already been told that he's not the baby's father.",Greg Daniels,Aaron Shure
