character,word,freq
Michael,dwight,353
Michael,people,336
Michael,pam,327
Dwight,jim,294
Dwight,michael,282
Michael,time,275
Pam,michael,262
Jim,dwight,258
Michael,god,249
Michael,alright,243
Michael,guys,228
Michael,jim,227
Michael,day,225
Michael,love,204
Jim,pam,189
Michael,office,186
Pam,jim,182
Jim,michael,181
Michael,michael,171
Michael,wow,164
Michael,stop,162
Michael,jan,154
Michael,call,153
Michael,guy,151
Michael,lot,146
Michael,ryan,143
Dwight,time,140
Michael,talk,140
Jim,alright,133
Michael,stanley,133
Jim,time,129
Michael,fun,128
Michael,nice,127
Michael,phyllis,127
Michael,business,126
Pam,dwight,126
Michael,life,122
Michael,party,121
Andy,guys,118
Dwight,wait,117
Jim,wow,117
Dwight,people,112
Michael,feel,110
Michael,paper,107
Dwight,dwight,106
Michael,job,106
Dwight,pam,104
Michael,company,104
Andy,time,102
Michael,wait,102
Dwight,schrute,101
Michael,toby,101
Michael,oscar,100
Michael,scott,99
Michael,kevin,95
Dwight,office,94
Pam,time,93
Erin,andy,92
Michael,bad,92
Michael,idea,92
Michael,fine,91
Jim,wait,90
Jim,day,88
Michael,dunder,87
Michael,holly,86
Jim,god,85
Pam,god,85
Jim,guys,84
Jim,stop,84
Michael,cool,83
Michael,mifflin,83
Michael,talking,83
Michael,friend,82
Michael,thinking,82
Angela,dwight,81
Andy,dwight,80
Dwight,ha,80
Michael,friends,80
Dwight,god,79
Michael,boss,79
Michael,scranton,79
Andy,erin,78
Dwight,paper,78
Michael,david,77
Michael,listen,77
Michael,real,76
Jim,talk,75
Michael,happy,75
Jim,call,74
Jim,love,74
Michael,told,74
Michael,car,73
Michael,money,73
Michael,wrong,73
Dwight,fine,72
Dwight,listen,72
Jim,nice,72
Michael,baby,72
Michael,head,72
Pam,love,72
Kevin,michael,71
Pam,people,71
Jim,pretty,70
Michael,hear,70
Michael,wanna,70
Jim,people,69
Michael,coming,69
Michael,hot,68
Michael,meredith,68
Dwight,day,67
Dwight,manager,67
Michael,person,67
Andy,day,66
Michael,andy,66
Michael,bit,66
Michael,manager,66
Michael,woman,66
